chat_id,patient_id,language,user_input,intent,timestamp
C00001,PID-995962,english,What are the requirements?,eligibility_check,2026-04-23 15:18:12.648804
C00002,PID-834621,english,Tell me about cancer research,trial_inquiry,2026-04-23 14:18:12.648804
C00003,PID-175853,english,I want to participate in research,participation_request,2026-04-23 13:18:12.648804
C00004,PID-259973,english,What trials are available for diabetes?,general_info,2026-04-23 12:18:12.648804
C00005,PID-286644,hindi,Show me hypertension trials,general_info,2026-04-23 11:18:12.648804
C00006,PID-451956,english,What are the requirements?,general_info,2026-04-23 10:18:12.648804
C00007,PID-331126,english,Can you help me find a doctor?,participation_request,2026-04-23 09:18:12.648804
C00008,PID-892987,hindi,Tell me about cancer research,eligibility_check,2026-04-23 08:18:12.648804
C00009,PID-649565,english,Is there anything for migraines?,eligibility_check,2026-04-23 07:18:12.648804
C00010,PID-587209,english,I want to participate in research,participation_request,2026-04-23 06:18:12.648804
C00011,PID-207355,english,Can you help me find a doctor?,eligibility_check,2026-04-23 05:18:12.648804
C00012,PID-249807,kannada,What trials are available for diabetes?,participation_request,2026-04-23 04:18:12.648804
C00013,PID-229403,hindi,What trials are available for diabetes?,trial_inquiry,2026-04-23 03:18:12.648804
C00014,PID-674653,kannada,I want to participate in research,trial_inquiry,2026-04-23 02:18:12.648804
C00015,PID-773498,english,What are the requirements?,participation_request,2026-04-23 01:18:12.648804
C00016,PID-834066,hindi,Is there anything for migraines?,general_info,2026-04-23 00:18:12.648804
C00017,PID-299525,english,Tell me about cancer research,eligibility_check,2026-04-22 23:18:12.648804
C00018,PID-597454,english,What trials are available for diabetes?,participation_request,2026-04-22 22:18:12.648804
C00019,PID-510989,english,Am I eligible for heart disease study?,eligibility_check,2026-04-22 21:18:12.648804
C00020,PID-661557,telugu,Show me hypertension trials,eligibility_check,2026-04-22 20:18:12.648804
C00021,PID-533685,english,How do I join a trial?,participation_request,2026-04-22 19:18:12.648804
C00022,PID-126770,telugu,Show me hypertension trials,participation_request,2026-04-22 18:18:12.648804
C00023,PID-523659,english,Can you help me find a doctor?,general_info,2026-04-22 17:18:12.648804
C00024,PID-124922,hindi,How do I join a trial?,participation_request,2026-04-22 16:18:12.648804
C00025,PID-531826,english,Show me hypertension trials,general_info,2026-04-22 15:18:12.648804
